LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-84.8920122,40.8328978,,E 600 N,,DECATUR,,IN,46733,,a478a1673915de4c
-84.8916301,40.8329294,,E 600 N,,DECATUR,,IN,46733,,3e85d2fcb87b5076
-84.8435335,40.885982,9604,N 500 E,,DECATUR,,IN,46733,,dbc295f97039c7dd
-84.9249701,40.8324062,265,N 2ND ST,,DECATUR,,IN,46733,,dba60e939e00b51f
-85.0413148,40.8325374,,W US HIGHWAY 224,,DECATUR,,IN,46733,,06cc88ae4652755b
-85.0493141,40.8324534,,W US HWY 224,,DECATUR,,IN,46733,,e8d9490da3e571d4
-85.0504098,40.8325003,,W US HWY 224,,DECATUR,,IN,46733,,a2d06667cc85cdac
-84.9533496,40.6192433,,US HIGHWAY 27,,GENEVA,,IN,46740,,79f0996710dcb2b5
-84.9534097,40.6180984,,S US HIGHWAY 27,,GENEVA,,IN,46740,,ea20cea639cc80f2
-84.9531947,40.6202266,,US HIGHWAY 27,,GENEVA,,IN,46740,,4ee12bf31909a56c
-84.9536346,40.6179695,,US HIGHWAY 27,,GENEVA,,IN,46740,,beb643f64ad0f416
-84.9577965,40.6706932,,US HWY 27,,BERNE,,IN,46711,,224f3bcee4be39dd
-84.9568831,40.6711846,,US HWY 27,,BERNE,,IN,46711,,0699f9d336453725
-84.9576925,40.6667793,1046,US HWY 27,,BERNE,,IN,46711,,e1822c4de6ff6fc6
-84.9577835,40.6673815,1196,US HWY 27,,BERNE,,IN,46711,,218014f2256a9f10
-84.9577853,40.6677893,1196,US HWY 27,,BERNE,,IN,46711,,2466b159cc2b79b1
-84.9568882,40.6681298,1196,US HWY 27,,BERNE,,IN,46711,,b3433c312ca29e42
-84.9577675,40.6695264,,US HWY 27,,BERNE,,IN,46711,,e15174c27ed7862a
-84.9568589,40.6690072,1196,US HWY 27,,BERNE,,IN,46711,,9df782e4159add10
-85.044051,40.5816582,,S 550 W,,GENEVA,,IN,46740,,1a6bcd502d1f06fe
-84.9376383,40.7924138,,W BEECH ST,,DECATUR,,IN,46733,,18ffbaa859fec226
-84.9556774,40.7894816,,N 100 W,,DECATUR,,IN,46733,,d4b61a61b90f3c7f
-84.8837627,40.631391,2749,E 800 S,,GENEVA,,IN,46740,,01058ce021b068d1
-84.8306312,40.6088046,,S 550 E,,GENEVA,,IN,46740,,3590554ad6c96654
-84.9454052,40.6552842,466,CALIFORNIA ST,,BERNE,,IN,46711,,d2d7cd183952ef01
-84.9454006,40.6548324,,S CALIFORNIA ST,,BERNE,,IN,46711,,28ccbe49baa8e9a5
-84.9214275,40.8308182,,E MONROE ST,,DECATUR,,IN,46733,,380ce8514a27beed
-84.9964418,40.7401598,,S 300 W,,MONROE,,IN,46772,,13d84347a8ca591c
-84.9720579,40.7014074,1871,W 300 S,,BERNE,,IN,46711,,47d331b39292bcbf
-84.8935195,40.7099748,,S 200 E,,MONROE,,IN,46772,,6cd0a6edd58876fd
-84.9635193,40.6438388,,S 150 W,,BERNE,,IN,46711,,94e9d8b4f80f32f4
-84.8896866,40.6942342,,E 350 S,,MONROE,,IN,46772,,746aad988bb9fd00
-84.8427535,40.7097371,,S 500 E,,MONROE,,IN,46772,,cc1d2cd86419439f
-84.9725899,40.6947612,1941,W 350 S,,BERNE,,IN,46711,,b9c7054a16172055
-84.937533,40.7933343,,N US HIGHWAY 27,,DECATUR,,IN,46733,,d7bf3a08179fe352
-84.8481798,40.6243703,,S 450 E,,BERNE,,IN,46711,,6e7d0fd5f7e2179a
-84.9342624,40.7396775,,S VAN BUREN ST,,MONROE,,IN,46772,,f1a6c631b3123d11
-84.8937928,40.8269128,,N PIQUA RD,,DECATUR,,IN,46733,,9ca30d611c86c2fb
-84.8379553,40.7367889,,S 500 E,,DECATUR,,IN,46733,,250c6543c008308c
-84.8384945,40.735004,815,S 500 E,,DECATUR,,IN,46733,,88cb24f3f40c1dbf
-84.8780206,40.8774202,3141,E 900 N,,DECATUR,,IN,46733,,fe0ff45124fcd6e2
-84.878628,40.8772113,,E 900 N,,DECATUR,,IN,46733,,7fa7fb84c66643ae
-85.0339694,40.8690416,8617,N 500 W,,DECATUR,,IN,46733,,6e1222c07553c228
-84.9646324,40.7141529,,W 200 S,,BERNE,,IN,46711,,c4626853dd071521
-84.9211799,40.7171785,825,E 200 S,,MONROE,,IN,46772,,683aa8f9e474760e
-84.8782205,40.6531235,6393,S 300 E,,BERNE,,IN,46711,,f519d95587adb0b9
-84.8636269,40.5981462,,E 1000 S,,GENEVA,,IN,46740,,78b0e686b4ebc049
-84.9382226,40.7504927,,N POLK ST,,MONROE,,IN,46772,,9193d3c1c1ec969a
-84.9731844,40.6869912,1931,W 400  S,,BERNE,,IN,46711,,2267fed55839b3e8
-84.8784419,40.6742421,4913,S 300 E,,BERNE,,IN,46711,,7c381261b539abc4
